GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
his-agent-backend,com.hisagent.exception,GlobalExceptionHandler,99,7,0,0,19,2,7,2,7,2
his-agent-backend,com.hisagent.exception,ErrorCode,0,417,0,4,0,49,0,7,0,5
his-agent-backend,com.hisagent.exception,BusinessException,24,0,0,0,9,0,3,0,3,0
his-agent-backend,com.hisagent.cache,CacheKeyBuilder,0,81,0,0,0,7,0,7,0,7
his-agent-backend,com.hisagent.cache,DistributedLockUtil,106,4,8,0,29,2,10,1,6,1
his-agent-backend,com.hisagent.cache,CacheUtils,0,83,0,12,0,21,0,13,0,7
his-agent-backend,com.hisagent.cache,CacheTTL,0,15,0,0,0,7,0,1,0,1
his-agent-backend,com.hisagent.his.mock,MockHisAdapter,127,91,8,0,33,35,14,2,10,2
his-agent-backend,com.hisagent.filter,SensitiveDataFilter,66,0,2,0,12,0,4,0,3,0
his-agent-backend,com.hisagent.config,ThreadPoolConfig,0,192,0,0,0,62,0,7,0,7
his-agent-backend,com.hisagent.config,SecurityConfig,23,63,0,0,7,17,1,9,1,9
his-agent-backend,com.hisagent.config,PageRequestConfig,114,8,10,0,27,3,13,2,8,2
his-agent-backend,com.hisagent.config,RecordingLifecycleConfig,17,4,0,0,7,1,2,1,2,1
his-agent-backend,com.hisagent.config,RedissonConfig,6,44,2,2,1,13,2,2,0,2
his-agent-backend,com.hisagent.config,CorsConfig,0,52,0,0,0,15,0,2,0,2
his-agent-backend,com.hisagent.config,RedisConfig,0,73,0,0,0,24,0,3,0,3
his-agent-backend,com.hisagent.config,TraceIdFilter,59,7,6,0,15,3,5,2,2,2
his-agent-backend,com.hisagent.service,RecordingService.RecordingStats,12,0,0,0,1,0,1,0,1,0
his-agent-backend,com.hisagent.service,SoftDeleteService,99,0,4,0,28,0,9,0,7,0
his-agent-backend,com.hisagent.service,PatientService,130,3,0,0,51,1,5,1,5,1
his-agent-backend,com.hisagent.service,RecordingService,115,12,6,0,26,3,8,2,5,2
his-agent-backend,com.hisagent.service,CacheServiceExample,209,4,14,0,52,1,13,1,6,1
his-agent-backend,com.hisagent.service,UserDetailsServiceImpl,43,4,2,0,11,1,2,1,1,1
his-agent-backend,com.hisagent.service.fallback,VoiceRecognitionFallback,48,7,0,0,14,2,4,2,4,2
his-agent-backend,com.hisagent.service.fallback,LlmServiceFallback,72,7,8,0,19,2,9,2,5,2
his-agent-backend,com.hisagent.service.fallback,HisIntegrationFallback,73,7,0,0,21,2,6,2,6,2
his-agent-backend,com.hisagent.model,BaseEntity,21,0,2,0,7,0,4,0,3,0
his-agent-backend,com.hisagent.his.adapter,HisAdapterFactory,76,36,10,2,13,8,8,3,3,2
his-agent-backend,com.hisagent.his.adapter,RestHisAdapter,68,10,0,0,30,3,7,2,7,2
his-agent-backend,com.hisagent.his.adapter,SoapHisAdapter,68,10,0,0,30,3,7,2,7,2
his-agent-backend,com.hisagent.his.adapter,BaseHisAdapter,237,19,0,0,36,7,8,3,8,3
his-agent-backend,com.hisagent.util,DataMaskingUtils,5,221,11,39,1,40,11,21,0,7
his-agent-backend,com.hisagent.security,JwtTokenProvider,104,7,4,0,24,2,11,2,9,2
his-agent-backend,com.hisagent.security,JwtAuthenticationFilter,74,4,8,0,18,1,6,1,2,1
his-agent-backend,com.hisagent.controller,PatientController,18,0,0,0,5,0,3,0,3,0
his-agent-backend,com.hisagent.controller,DevPortalController,80,0,2,0,26,0,6,0,5,0
his-agent-backend,com.hisagent.dto,ApiResponse,32,0,0,0,4,0,4,0,4,0
his-agent-backend,com.hisagent.dto,PageResponse,0,50,1,7,0,14,1,5,0,2
his-agent-backend,com.hisagent.annotation,MaskType,64,0,0,0,13,0,1,0,1,0
his-agent-backend,com.hisagent,HisAgentApplication,5,3,0,0,2,1,1,1,1,1
